27-12-2019;23,572,889;1,921,052;81 in 1,000
31-12-2019;29,540,141;2,055,193;70 in 1,000
03-01-2020;25,825,156;1,873,287;73 in 1,000
07-01-2020;21,770,211;1,720,809;79 in 1,000
10-01-2020;29,657,402;2,230,969;75 in 1,000
14-01-2020;23,847,582;1,770,798;74 in 1,000
17-01-2020;32,157,055;2,691,123;84 in 1,000
21-01-2020;17,685,261;1,332,112;75 in 1,000
24-01-2020;24,414,393;2,236,871;92 in 1,000
28-01-2020;17,517,075;1,398,506;80 in 1,000
31-01-2020;25,114,299;2,222,817;89 in 1,000
04-02-2020;21,678,368;1,620,796;75 in 1,000
07-02-2020;45,434,888;3,807,451;84 in 1,000
11-02-2020;18,374,664;1,236,529;67 in 1,000
14-02-2020;25,523,944;1,734,592;68 in 1,000
18-02-2020;18,253,392;1,237,264;68 in 1,000
21-02-2020;25,539,062;2,082,007;82 in 1,000
25-02-2020;19,734,829;1,620,037;82 in 1,000
28-02-2020;27,535,705;2,473,338;90 in 1,000
03-03-2020;17,465,900;1,328,279;76 in 1,000
06-03-2020;24,362,918;1,541,171;63 in 1,000
10-03-2020;18,465,432;1,392,127;75 in 1,000
13-03-2020;27,808,702;2,306,848;83 in 1,000
17-03-2020;14,090,279;1,271,942;90 in 1,000
20-03-2020;14,310,644;1,095,514;77 in 1,000
24-03-2020;9,964,974;843,880;85 in 1,000
27-03-2020;14,007,830;1,049,548;75 in 1,000
31-03-2020;11,041,708;903,675;82 in 1,000
03-04-2020;15,207,407;1,074,084;71 in 1,000
07-04-2020;12,099,809;899,399;74 in 1,000
10-04-2020;16,533,629;1,386,674;84 in 1,000
14-04-2020;12,445,830;802,806;65 in 1,000
17-04-2020;17,323,783;1,217,562;70 in 1,000
21-04-2020;11,343,297;1,064,251;94 in 1,000
24-04-2020;15,450,800;1,424,425;92 in 1,000
28-04-2020;12,365,585;1,006,798;81 in 1,000
01-05-2020;16,186,780;1,159,354;72 in 1,000
05-05-2020;13,884,846;1,124,062;81 in 1,000
08-05-2020;17,699,051;1,327,697;75 in 1,000
12-05-2020;14,818,413;1,129,528;76 in 1,000
15-05-2020;19,713,383;1,526,580;77 in 1,000
