01-01-2019;ES;Match 4;38.79;397;15,399.63;3,368
01-01-2019;ES;Match 2 and 2 Stars;15.19;4,854;73,732.26;39,603
01-01-2019;ES;Match 3 and 1 Star;11.72;6,600;77,352.00;54,281
01-01-2019;ES;Match 3;9.60;15,536;149,145.60;125,298
01-01-2019;ES;Match 1 and 2 Stars;8.89;23,929;212,728.81;191,321
01-01-2019;ES;Match 2 and 1 Star;7.20;87,938;633,153.60;708,609
01-01-2019;ES;Match 2;3.94;200,082;788,323.08;1,590,576
01-01-2019;ES;Totals;;339,874;2,168,696.56;2,717,684
01-01-2019;PT;Match 5 and 2 Stars;129,645,665.00;0;0.00;1
01-01-2019;PT;Match 5 and 1 Star;123,450.27;0;0.00;11
01-01-2019;PT;Match 5;26,356.89;0;0.00;12
01-01-2019;PT;Match 4 and 2 Stars;1,798.87;10;17,988.70;86
01-01-2019;PT;Match 4 and 1 Star;118.54;122;14,461.88;1,392
01-01-2019;PT;Match 3 and 2 Stars;73.68;293;21,588.24;3,126
01-01-2019;PT;Match 4;38.78;347;13,456.66;3,368
01-01-2019;PT;Match 2 and 2 Stars;15.19;3,723;56,552.37;39,603
01-01-2019;PT;Match 3 and 1 Star;11.71;5,166;60,493.86;54,281
01-01-2019;PT;Match 3;9.60;13,268;127,372.80;125,298
01-01-2019;PT;Match 1 and 2 Stars;8.89;18,841;167,496.49;191,321
01-01-2019;PT;Match 2 and 1 Star;7.20;68,269;491,536.80;708,609
01-01-2019;PT;Match 2;3.94;166,721;656,880.74;1,590,576
01-01-2019;PT;Totals;;276,760;1,627,828.54;2,717,684
01-01-2019;CH;Match 5 and 2 Stars;146,312,782.05;0;;1
01-01-2019;CH;Match 5 and 1 Star;139,320.90;0;;11
01-01-2019;CH;Match 5;42,141.00;1;;12
01-01-2019;CH;Match 4 and 2 Stars;2,876.15;5;;86
01-01-2019;CH;Match 4 and 1 Star;189.55;78;;1,392
01-01-2019;CH;Match 3 and 2 Stars;117.80;207;;3,126
01-01-2019;CH;Match 4;62.00;261;;3,368
01-01-2019;CH;Match 2 and 2 Stars;24.30;2,714;;39,603
01-01-2019;CH;Match 3 and 1 Star;18.75;3,474;;54,281
01-01-2019;CH;Match 3;15.35;8,765;;125,298
01-01-2019;CH;Match 1 and 2 Stars;14.20;13,606;;191,321
01-01-2019;CH;Match 2 and 1 Star;11.50;47,303;;708,609
01-01-2019;CH;Match 2;6.30;108,672;;1,590,576
01-01-2019;CH;Totals;;185,086;;2,717,684
01-01-2019;AT;Match 5 and 2 Stars;129,645,665.00;0;0.00;1
01-01-2019;AT;Match 5 and 1 Star;123,450.20;2;246,900.40;11
01-01-2019;AT;Match 5;26,356.80;1;26,356.80;12
01-01-2019;AT;Match 4 and 2 Stars;1,798.80;2;3,597.60;86
01-01-2019;AT;Match 4 and 1 Star;118.50;74;8,769.00;1,392
01-01-2019;AT;Match 3 and 2 Stars;73.60;119;8,758.40;3,126
01-01-2019;AT;Match 4;38.70;152;5,882.40;3,368
01-01-2019;AT;Match 2 and 2 Stars;15.10;1,895;28,614.50;39,603
01-01-2019;AT;Match 3 and 1 Star;11.70;2,725;31,882.50;54,281
01-01-2019;AT;Match 3;9.60;6,326;60,729.60;125,298
01-01-2019;AT;Match 1 and 2 Stars;8.80;9,822;86,433.60;191,321
01-01-2019;AT;Match 2 and 1 Star;7.20;38,312;275,846.40;708,609
01-01-2019;AT;Match 2;3.90;85,544;333,621.60;1,590,576
01-01-2019;AT;Totals;;144,974;1,117,392.80;2,717,684
01-01-2019;LU;Match 5 and 2 Stars;129,645,665.00;0;;1
01-01-2019;LU;Match 5 and 1 Star;123,450.20;0;;11
01-01-2019;LU;Match 5;26,356.80;1;;12
01-01-2019;LU;Match 4 and 2 Stars;1,798.80;5;;86
01-01-2019;LU;Match 4 and 1 Star;118.50;78;;1,392
01-01-2019;LU;Match 3 and 2 Stars;73.60;207;;3,126
01-01-2019;LU;Match 4;38.70;261;;3,368
01-01-2019;LU;Match 2 and 2 Stars;15.10;2,714;;39,603
01-01-2019;LU;Match 3 and 1 Star;11.70;3,474;;54,281
01-01-2019;LU;Match 3;9.60;8,765;;125,298
01-01-2019;LU;Match 1 and 2 Stars;8.80;13,606;;191,321
01-01-2019;LU;Match 2 and 1 Star;7.20;47,303;;708,609
01-01-2019;LU;Match 2;3.90;108,672;;1,590,576
01-01-2019;LU;Totals;;185,086;;2,717,684
04-01-2019;BE;Match 5 and 2 Stars;17,000,000.00;0;0.00;Rollover! 0
04-01-2019;BE;Match 5 and 1 Star;147,922.90;0;0.00;7
04-01-2019;BE;Match 5;21,924.50;1;21,924.50;11
04-01-2019;BE;Match 4 and 2 Stars;2,313.00;5;11,565.00;51
04-01-2019;BE;Match 4 and 1 Star;115.50;110;12,705.00;1,089
04-01-2019;BE;Match 3 and 2 Stars;96.10;223;21,430.30;1,827
04-01-2019;BE;Match 4;28.80;362;10,425.60;3,449
04-01-2019;BE;Match 2 and 2 Stars;20.50;2,079;42,619.50;22,302
04-01-2019;BE;Match 3 and 1 Star;11.30;3,869;43,719.70;42,784
04-01-2019;BE;Match 3;7.30;11,514;84,052.20;125,591
04-01-2019;BE;Match 1 and 2 Stars;12.00;9,570;114,840.00;107,912
04-01-2019;BE;Match 2 and 1 Star;7.50;42,433;318,247.50;513,443
04-01-2019;BE;Match 2;3.40;118,279;402,148.60;1,374,467
04-01-2019;BE;Totals;;188,445;1,083,677.90;2,192,933
04-01-2019;UK;Match 5 and 2 Stars;15,228,600.00;0;0.00;Rollover! 0
04-01-2019;UK;Match 5 and 1 Star;0.00;0;0.00;7
04-01-2019;UK;Match 5;12,893.70;2;25,787.40;11
04-01-2019;UK;Match 4 and 2 Stars;1,360.20;11;14,962.20;51
04-01-2019;UK;Match 4 and 1 Star;67.90;227;15,413.30;1,089
04-01-2019;UK;Match 3 and 2 Stars;56.50;365;20,622.50;1,827
04-01-2019;UK;Match 4;16.90;734;12,404.60;3,449
04-01-2019;UK;Match 2 and 2 Stars;12.00;5,161;61,932.00;22,302
04-01-2019;UK;Match 3 and 1 Star;6.60;9,318;61,498.80;42,784
04-01-2019;UK;Match 3;4.20;26,616;111,787.20;125,591
04-01-2019;UK;Match 1 and 2 Stars;7.00;25,350;177,450.00;107,912
04-01-2019;UK;Match 2 and 1 Star;4.40;116,804;513,937.60;513,443
04-01-2019;UK;Match 2;2.00;303,574;607,148.00;1,374,467
04-01-2019;UK;Totals;;488,162;1,622,943.60;2,192,933
04-01-2019;IE;Match 5 and 2 Stars;17,000,000.00;0;0.00;Rollover! 0
04-01-2019;IE;Match 5 and 1 Star;147,923.00;0;0.00;7
04-01-2019;IE;Match 5;21,925.00;3;65,775.00;11
04-01-2019;IE;Match 4 and 2 Stars;2,313.00;3;6,939.00;51
04-01-2019;IE;Match 4 and 1 Star;116.00;36;4,176.00;1,089
04-01-2019;IE;Match 3 and 2 Stars;96.00;63;6,048.00;1,827
04-01-2019;IE;Match 4;29.00;89;2,581.00;3,449
04-01-2019;IE;Match 2 and 2 Stars;21.00;596;12,516.00;22,302
04-01-2019;IE;Match 3 and 1 Star;11.00;954;10,494.00;42,784
04-01-2019;IE;Match 3;7.00;2,606;18,242.00;125,591
04-01-2019;IE;Match 1 and 2 Stars;12.00;2,941;35,292.00;107,912
04-01-2019;IE;Match 2 and 1 Star;8.00;12,529;100,232.00;513,443
04-01-2019;IE;Match 2;3.00;30,870;92,610.00;1,374,467
04-01-2019;IE;Totals;;50,690;354,905.00;2,192,933
04-01-2019;FR;Match 5 and 2 Stars;17,000,000.00;0;0.00;Rollover! 0
04-01-2019;FR;Match 5 and 1 Star;147,922.90;4;591,691.60;7
04-01-2019;FR;Match 5 and 1 Star (with Étoile+)*;0.00;0;0.00;0
04-01-2019;FR;Match 5;21,924.50;2;43,849.00;11
04-01-2019;FR;Match 4 and 2 Stars;2,313.00;10;23,130.00;51
04-01-2019;FR;Match 4 and 2 Stars (with Étoile+)*;4,170.80;3;12,512.40;3
04-01-2019;FR;Match 4 and 1 Star;115.50;267;30,838.50;1,089
04-01-2019;FR;Match 4 and 1 Star (with Étoile+)*;135.50;63;8,536.50;63
04-01-2019;FR;Match 3 and 2 Stars;96.10;390;37,479.00;1,827
04-01-2019;FR;Match 3 and 2 Stars (with Étoile+)*;110.70;86;9,520.20;86
04-01-2019;FR;Match 4;28.80;760;21,888.00;3,449
04-01-2019;FR;Match 2 and 2 Stars;20.50;4,695;96,247.50;22,302
04-01-2019;FR;Match 2 and 2 Stars (with Étoile+)*;24.30;1,118;27,167.40;1,118
04-01-2019;FR;Match 3 and 1 Star;11.30;10,355;117,011.50;42,784
04-01-2019;FR;Match 3 and 1 Star (with Étoile+)*;13.10;2,719;35,618.90;2,719
04-01-2019;FR;Match 3;7.30;28,392;207,261.60;125,591
04-01-2019;FR;Match 1 and 2 Stars;12.00;21,598;259,176.00;107,912
04-01-2019;FR;Match 1 and 2 Stars (with Étoile+)*;15.30;5,214;79,774.20;5,214
04-01-2019;FR;Match 0 and 2 Stars (with Étoile+)*;14.10;7,899;111,375.90;7,899
04-01-2019;FR;Match 2 and 1 Star;7.50;118,985;892,387.50;513,443
04-01-2019;FR;Match 2 and 1 Star (with Étoile+)*;9.20;28,944;266,284.80;28,944
04-01-2019;FR;Match 2;3.40;310,398;1,055,353.20;1,374,467
04-01-2019;FR;Match 0 and 1 Star (with Étoile+)*;2.80;190,438;533,226.40;190,438
04-01-2019;FR;Totals;;732,340;4,460,330.10;2,429,417
04-01-2019;ES;Match 5 and 2 Stars;17,000,000.00;0;0.00;Rollover! 0
04-01-2019;ES;Match 5 and 1 Star;147,922.92;1;147,922.92;7
04-01-2019;ES;Match 5;21,924.59;1;21,924.59;11
04-01-2019;ES;Match 4 and 2 Stars;2,313.02;8;18,504.16;51
04-01-2019;ES;Match 4 and 1 Star;115.54;158;18,255.32;1,089
04-01-2019;ES;Match 3 and 2 Stars;96.13;350;33,645.50;1,827
04-01-2019;ES;Match 4;28.88;521;15,046.48;3,449
04-01-2019;ES;Match 2 and 2 Stars;20.57;4,517;92,914.69;22,302
04-01-2019;ES;Match 3 and 1 Star;11.34;7,897;89,551.98;42,784
04-01-2019;ES;Match 3;7.31;23,137;169,131.47;125,591
04-01-2019;ES;Match 1 and 2 Stars;12.02;23,131;278,034.62;107,912
04-01-2019;ES;Match 2 and 1 Star;7.58;101,743;771,211.94;513,443
04-01-2019;ES;Match 2;3.48;268,063;932,859.24;1,374,467
04-01-2019;ES;Totals;;429,527;2,589,002.91;2,192,933
04-01-2019;PT;Match 5 and 2 Stars;17,000,000.00;0;0.00;Rollover! 0
04-01-2019;PT;Match 5 and 1 Star;147,922.92;0;0.00;7
04-01-2019;PT;Match 5;21,924.59;0;0.00;11
04-01-2019;PT;Match 4 and 2 Stars;2,313.01;9;20,817.09;51
04-01-2019;PT;Match 4 and 1 Star;115.54;142;16,406.68;1,089
04-01-2019;PT;Match 3 and 2 Stars;96.13;193;18,553.09;1,827
04-01-2019;PT;Match 4;28.88;528;15,248.64;3,449
04-01-2019;PT;Match 2 and 2 Stars;20.56;2,549;52,407.44;22,302
04-01-2019;PT;Match 3 and 1 Star;11.33;5,254;59,527.82;42,784
04-01-2019;PT;Match 3;7.30;17,755;129,611.50;125,591
04-01-2019;PT;Match 1 and 2 Stars;12.02;13,350;160,467.00;107,912
04-01-2019;PT;Match 2 and 1 Star;7.58;63,461;481,034.38;513,443
04-01-2019;PT;Match 2;3.48;188,575;656,241.00;1,374,467
04-01-2019;PT;Totals;;291,816;1,610,314.64;2,192,933
04-01-2019;CH;Match 5 and 2 Stars;0.00;0;;Rollover! 0
